bank_txn_id,utr_number,amount,transaction_date,value_date,description,bank_reference,settlement_reference,transaction_type,balance,ground_truth_settlement_id,ground_truth_scenario
BNK-2026-0017,UTR119278414725,140500.0,2026-01-22,2026-01-22,NEFT Cashfree SETTLEMENT INV-2026-0017,UTR119278414725,SET-2026-0017,credit,,SET-2026-0017,exact_match
BNK-2026-0018,UTR176519237216,66500.0,2026-01-06,2026-01-06,NEFT Paytm SETTLEMENT INV-2026-0018,UTR176519237216,SET-2026-0018,credit,,SET-2026-0018,exact_match
BNK-2026-0019,UTR769467002266,145500.0,2026-02-11,2026-02-11,NEFT CCAvenue SETTLEMENT INV-2026-0019,UTR769467002266,SET-2026-0019,credit,,SET-2026-0019,exact_match
BNK-2026-0020,UTR815849444665,640000.0,2026-02-26,2026-02-26,NEFT Cashfree SETTLEMENT INV-2026-0020,UTR815849444665,SET-2026-0020,credit,,SET-2026-0020,exact_match
BNK-2026-0021,UTR744335435865,68000.0,2026-02-06,2026-02-06,NEFT Cashfree SETTLEMENT INV-2026-0021,UTR744335435865,SET-2026-0021,credit,,SET-2026-0021,exact_match
BNK-2026-0022,UTR138248487718,23000.0,2026-01-10,2026-01-10,NEFT Razorpay SETTLEMENT INV-2026-0022,UTR138248487718,SET-2026-0022,credit,,SET-2026-0022,exact_match
BNK-2026-0023,UTR895137224815,176000.0,2026-04-11,2026-04-11,NEFT CCAvenue SETTLEMENT INV-2026-0023,UTR895137224815,SET-2026-0023,credit,,SET-2026-0023,exact_match
BNK-2026-0024,UTR821970820395,715000.0,2026-04-10,2026-04-10,NEFT Razorpay SETTLEMENT INV-2026-0024,UTR821970820395,SET-2026-0024,credit,,SET-2026-0024,exact_match
BNK-2026-0025,UTR542641960943,191500.0,2026-01-26,2026-01-26,NEFT Razorpay SETTLEMENT INV-2026-0025,UTR542641960943,SET-2026-0025,credit,,SET-2026-0025,exact_match
BNK-2026-0026,UTR405730753142,53500.0,2026-04-07,2026-04-07,NEFT Paytm SETTLEMENT INV-2026-0026,UTR405730753142,SET-2026-0026,credit,,SET-2026-0026,exact_match
BNK-2026-0027,UTR116475613040,145500.0,2026-01-03,2026-01-03,NEFT CCAvenue SETTLEMENT INV-2026-0027,UTR116475613040,SET-2026-0027,credit,,SET-2026-0027,exact_match
BNK-2026-0028,UTR168300472052,128000.0,2026-03-02,2026-03-02,NEFT Paytm SETTLEMENT INV-2026-0028,UTR168300472052,SET-2026-0028,credit,,SET-2026-0028,exact_match
BNK-2026-0029,UTR713249868174,1130000.0,2026-04-14,2026-04-14,NEFT Paytm SETTLEMENT INV-2026-0029,UTR713249868174,SET-2026-0029,credit,,SET-2026-0029,exact_match
BNK-2026-0030,UTR920600564299,60500.0,2026-01-21,2026-01-21,NEFT CCAvenue SETTLEMENT INV-2026-0030,UTR920600564299,SET-2026-0030,credit,,SET-2026-0030,exact_match
BNK-2026-0031,UTR173812556182,133500.0,2026-02-05,2026-02-05,NEFT CCAvenue SETTLEMENT INV-2026-0031,UTR173812556182,SET-2026-0031,credit,,SET-2026-0031,exact_match
BNK-2026-0032,UTR755321467395,457500.0,2026-01-20,2026-01-20,NEFT PayU SETTLEMENT INV-2026-0032,UTR755321467395,SET-2026-0032,credit,,SET-2026-0032,exact_match
BNK-2026-0033,UTR888855466331,149500.0,2026-03-11,2026-03-11,NEFT PayU SETTLEMENT INV-2026-0033,UTR888855466331,SET-2026-0033,credit,,SET-2026-0033,exact_match
BNK-2026-0034,UTR928623824187,176500.0,2026-03-16,2026-03-16,NEFT Cashfree SETTLEMENT INV-2026-0034,UTR928623824187,SET-2026-0034,credit,,SET-2026-0034,exact_match
BNK-2026-0035,UTR654966271979,149000.0,2026-01-05,2026-01-05,NEFT CCAvenue SETTLEMENT INV-2026-0035,UTR654966271979,SET-2026-0035,credit,,SET-2026-0035,exact_match
BNK-2026-0036,UTR581713854648,762500.0,2026-02-16,2026-02-16,NEFT Cashfree SETTLEMENT INV-2026-0036,UTR581713854648,SET-2026-0036,credit,,SET-2026-0036,exact_match
BNK-2026-0037,UTR214518382535,1470000.0,2026-01-24,2026-01-24,NEFT CCAvenue SETTLEMENT INV-2026-0037,UTR214518382535,SET-2026-0037,credit,,SET-2026-0037,exact_match
BNK-2026-0038,UTR330230991019,675000.0,2026-02-13,2026-02-13,NEFT Cashfree SETTLEMENT INV-2026-0038,UTR330230991019,SET-2026-0038,credit,,SET-2026-0038,exact_match
BNK-2026-0039,UTR796181120841,72500.0,2026-04-12,2026-04-12,NEFT Razorpay SETTLEMENT INV-2026-0039,UTR796181120841,SET-2026-0039,credit,,SET-2026-0039,exact_match
BNK-2026-0040,UTR875463562649,38000.0,2026-03-08,2026-03-08,NEFT Paytm SETTLEMENT INV-2026-0040,UTR875463562649,SET-2026-0040,credit,,SET-2026-0040,exact_match
BNK-2026-0041,UTR507311484139,181500.0,2026-02-21,2026-02-21,NEFT Razorpay SETTLEMENT INV-2026-0041,UTR507311484139,SET-2026-0041,credit,,SET-2026-0041,exact_match
BNK-2026-0042,UTR494702875840,83500.0,2026-03-27,2026-03-27,NEFT Razorpay SETTLEMENT INV-2026-0042,UTR494702875840,SET-2026-0042,credit,,SET-2026-0042,exact_match
BNK-2026-0043,UTR992493718889,148000.0,2026-04-22,2026-04-22,NEFT PayU SETTLEMENT INV-2026-0043,UTR992493718889,SET-2026-0043,credit,,SET-2026-0043,exact_match
BNK-2026-0044,UTR272944613643,90000.0,2026-04-29,2026-04-29,NEFT PayU SETTLEMENT INV-2026-0044,UTR272944613643,SET-2026-0044,credit,,SET-2026-0044,exact_match
BNK-2026-0045,UTR484229076692,747500.0,2026-04-10,2026-04-10,NEFT PayU SETTLEMENT INV-2026-0045,UTR484229076692,SET-2026-0045,credit,,SET-2026-0045,exact_match
BNK-2026-0046,UTR176726811657,54000.0,2026-04-14,2026-04-14,NEFT Cashfree SETTLEMENT INV-2026-0046,UTR176726811657,SET-2026-0046,credit,,SET-2026-0046,exact_match
BNK-2026-0047,UTR294395439052,178500.0,2026-03-05,2026-03-05,NEFT Razorpay SETTLEMENT INV-2026-0047,UTR294395439052,SET-2026-0047,credit,,SET-2026-0047,exact_match
BNK-2026-0048,UTR767594228337,116000.0,2026-03-27,2026-03-27,NEFT Cashfree SETTLEMENT INV-2026-0048,UTR767594228337,SET-2026-0048,credit,,SET-2026-0048,exact_match
BNK-2026-0049,UTR671237914339,320000.0,2026-03-05,2026-03-05,NEFT Paytm SETTLEMENT INV-2026-0049,UTR671237914339,SET-2026-0049,credit,,SET-2026-0049,exact_match
BNK-2026-0050,UTR890809244118,175000.0,2026-03-23,2026-03-23,NEFT Cashfree SETTLEMENT INV-2026-0050,UTR890809244118,SET-2026-0050,credit,,SET-2026-0050,exact_match
BNK-2026-0051,UTR560385447606,108000.0,2026-03-22,2026-03-22,NEFT PayU SETTLEMENT INV-2026-0051,UTR560385447606,SET-2026-0051,credit,,SET-2026-0051,exact_match
BNK-2026-0052,UTR103580822352,49500.0,2026-03-16,2026-03-16,NEFT CCAvenue SETTLEMENT INV-2026-0052,UTR103580822352,SET-2026-0052,credit,,SET-2026-0052,exact_match
BNK-2026-0053,UTR840633436777,153000.0,2026-03-17,2026-03-17,NEFT Paytm SETTLEMENT INV-2026-0053,UTR840633436777,SET-2026-0053,credit,,SET-2026-0053,exact_match
BNK-2026-0054,UTR200223870427,26500.0,2026-03-19,2026-03-19,NEFT CCAvenue SETTLEMENT INV-2026-0054,UTR200223870427,SET-2026-0054,credit,,SET-2026-0054,exact_match
BNK-2026-0055,UTR623917015844,292500.0,2026-01-05,2026-01-05,NEFT PayU SETTLEMENT INV-2026-0055,UTR623917015844,SET-2026-0055,credit,,SET-2026-0055,exact_match
BNK-2026-0056,UTR540209997973,166000.0,2026-02-24,2026-02-24,NEFT Paytm SETTLEMENT INV-2026-0056,UTR540209997973,SET-2026-0056,credit,,SET-2026-0056,exact_match
BNK-2026-0057,UTR294213443847,197000.0,2026-01-29,2026-01-29,NEFT Paytm SETTLEMENT INV-2026-0057,UTR294213443847,SET-2026-0057,credit,,SET-2026-0057,exact_match
BNK-2026-0058,UTR682687809473,36000.0,2026-04-09,2026-04-09,NEFT Paytm SETTLEMENT INV-2026-0058,UTR682687809473,SET-2026-0058,credit,,SET-2026-0058,exact_match
BNK-2026-0059,UTR916727364232,189000.0,2026-04-30,2026-04-30,NEFT CCAvenue SETTLEMENT INV-2026-0059,UTR916727364232,SET-2026-0059,credit,,SET-2026-0059,exact_match
BNK-2026-0060,UTR789276095704,737500.0,2026-03-27,2026-03-27,NEFT CCAvenue SETTLEMENT INV-2026-0060,UTR789276095704,SET-2026-0060,credit,,SET-2026-0060,exact_match
BNK-2026-0061,UTR188219282055,76251.24,2026-02-10,2026-02-10,RTGS Cashfree NET SETTLEMENT INV-2026-0061,UTR188219282055,SET-2026-0061,credit,,SET-2026-0061,fee_adjusted
BNK-2026-0062,UTR462527878842,43221.2,2026-02-07,2026-02-07,RTGS Paytm NET SETTLEMENT INV-2026-0062,UTR462527878842,SET-2026-0062,credit,,SET-2026-0062,fee_adjusted
BNK-2026-0063,UTR868567484183,109712.25,2026-04-27,2026-04-27,RTGS CCAvenue NET SETTLEMENT INV-2026-0063,UTR868567484183,SET-2026-0063,credit,,SET-2026-0063,fee_adjusted
BNK-2026-0064,UTR690210202253,93318.5,2026-03-28,2026-03-28,RTGS Paytm NET SETTLEMENT INV-2026-0064,UTR690210202253,SET-2026-0064,credit,,SET-2026-0064,fee_adjusted
BNK-2026-0065,UTR835883073006,114437.95,2026-04-05,2026-04-05,RTGS Paytm NET SETTLEMENT INV-2026-0065,UTR835883073006,SET-2026-0065,credit,,SET-2026-0065,fee_adjusted
BNK-2026-0066,UTR750232365798,121414.89,2026-02-23,2026-02-23,RTGS CCAvenue NET SETTLEMENT INV-2026-0066,UTR750232365798,SET-2026-0066,credit,,SET-2026-0066,fee_adjusted
BNK-2026-0067,UTR517729190564,38567.8,2026-04-08,2026-04-08,RTGS Razorpay NET SETTLEMENT INV-2026-0067,UTR517729190564,SET-2026-0067,credit,,SET-2026-0067,fee_adjusted
BNK-2026-0068,UTR615747860109,195968.85,2026-04-10,2026-04-10,RTGS Paytm NET SETTLEMENT INV-2026-0068,UTR615747860109,SET-2026-0068,credit,,SET-2026-0068,fee_adjusted
BNK-2026-0069,UTR374661490981,21969.0,2026-01-26,2026-01-26,RTGS Razorpay NET SETTLEMENT INV-2026-0069,UTR374661490981,SET-2026-0069,credit,,SET-2026-0069,fee_adjusted
BNK-2026-0070,UTR612037258811,36126.8,2026-04-26,2026-04-26,RTGS Razorpay NET SETTLEMENT INV-2026-0070,UTR612037258811,SET-2026-0070,credit,,SET-2026-0070,fee_adjusted
BNK-2026-0071,UTR443445860556,156696.0,2026-01-26,2026-01-26,RTGS PayU NET SETTLEMENT INV-2026-0071,UTR443445860556,SET-2026-0071,credit,,SET-2026-0071,fee_adjusted
BNK-2026-0072,UTR748866464070,98914.35,2026-04-26,2026-04-26,RTGS PayU NET SETTLEMENT INV-2026-0072,UTR748866464070,SET-2026-0072,credit,,SET-2026-0072,fee_adjusted
BNK-2026-0073,UTR146311066182,79968.04,2026-01-29,2026-01-29,RTGS CCAvenue NET SETTLEMENT INV-2026-0073,UTR146311066182,SET-2026-0073,credit,,SET-2026-0073,fee_adjusted
BNK-2026-0074,UTR640402796396,132119.35,2026-03-03,2026-03-03,RTGS Paytm NET SETTLEMENT INV-2026-0074,UTR640402796396,SET-2026-0074,credit,,SET-2026-0074,fee_adjusted
BNK-2026-0075,UTR674382277186,119970.37,2026-02-18,2026-02-18,RTGS PayU NET SETTLEMENT INV-2026-0075,UTR674382277186,SET-2026-0075,credit,,SET-2026-0075,fee_adjusted
BNK-2026-0076,UTR198503450940,542500.0,2026-05-06,2026-05-06,NEFT DELAYED CR INV-2026-0076,UTR198503450940,SET-2026-0076,credit,,SET-2026-0076,delayed_settlement
BNK-2026-0077,UTR131509583569,355000.0,2026-05-09,2026-05-09,NEFT DELAYED CR INV-2026-0077,UTR131509583569,SET-2026-0077,credit,,SET-2026-0077,delayed_settlement
BNK-2026-0078,UTR406404422214,315000.0,2026-04-29,2026-04-29,NEFT DELAYED CR INV-2026-0078,UTR406404422214,SET-2026-0078,credit,,SET-2026-0078,delayed_settlement
BNK-2026-0079,UTR549769295925,75500.0,2026-01-27,2026-01-27,NEFT DELAYED CR INV-2026-0079,UTR549769295925,SET-2026-0079,credit,,SET-2026-0079,delayed_settlement
BNK-2026-0080,UTR422522208302,66500.0,2026-05-07,2026-05-07,NEFT DELAYED CR INV-2026-0080,UTR422522208302,SET-2026-0080,credit,,SET-2026-0080,delayed_settlement
BNK-2026-0081,UTR682197733190,67000.0,2026-04-06,2026-04-06,NEFT DELAYED CR INV-2026-0081,UTR682197733190,SET-2026-0081,credit,,SET-2026-0081,delayed_settlement
BNK-2026-0082,UTR354482841033,195500.0,2026-03-26,2026-03-26,NEFT DELAYED CR INV-2026-0082,UTR354482841033,SET-2026-0082,credit,,SET-2026-0082,delayed_settlement
BNK-2026-0083,UTR337045863496,85500.0,2026-02-14,2026-02-14,NEFT DELAYED CR INV-2026-0083,UTR337045863496,SET-2026-0083,credit,,SET-2026-0083,delayed_settlement
BNK-2026-0084,UTR294823500706,190000.0,2026-03-17,2026-03-17,NEFT DELAYED CR INV-2026-0084,UTR294823500706,SET-2026-0084,credit,,SET-2026-0084,delayed_settlement
BNK-2026-0085,UTR800622035522,141500.0,2026-02-19,2026-02-19,NEFT DELAYED CR INV-2026-0085,UTR800622035522,SET-2026-0085,credit,,SET-2026-0085,delayed_settlement
BNK-2026-0086,UTR475553953855,5600.0,2026-03-18,2026-03-18,CMS PARTIAL SETTLEMENT INV-2026-0086,UTR475553953855,SET-2026-0086,credit,,SET-2026-0086,partial_payment
BNK-2026-0087,UTR731678373015,38100.0,2026-01-17,2026-01-17,CMS PARTIAL SETTLEMENT INV-2026-0087,UTR731678373015,SET-2026-0087,credit,,SET-2026-0087,partial_payment
BNK-2026-0088,UTR710394101616,30100.0,2026-03-06,2026-03-06,CMS PARTIAL SETTLEMENT INV-2026-0088,UTR710394101616,SET-2026-0088,credit,,SET-2026-0088,partial_payment
BNK-2026-0089,UTR436849259207,65200.0,2026-04-19,2026-04-19,CMS PARTIAL SETTLEMENT INV-2026-0089,UTR436849259207,SET-2026-0089,credit,,SET-2026-0089,partial_payment
BNK-2026-0090,UTR826986119473,58200.0,2026-02-23,2026-02-23,CMS PARTIAL SETTLEMENT INV-2026-0090,UTR826986119473,SET-2026-0090,credit,,SET-2026-0090,partial_payment
BNK-2026-0091,UTR857849142762,43800.0,2026-02-05,2026-02-05,CMS PARTIAL SETTLEMENT INV-2026-0091,UTR857849142762,SET-2026-0091,credit,,SET-2026-0091,partial_payment
BNK-2026-0092,UTR851924991536,32000.0,2026-03-25,2026-03-25,CMS PARTIAL SETTLEMENT INV-2026-0092,UTR851924991536,SET-2026-0092,credit,,SET-2026-0092,partial_payment
BNK-2026-0093,UTR347152013493,420000.0,2026-02-18,2026-02-18,CMS PARTIAL SETTLEMENT INV-2026-0093,UTR347152013493,SET-2026-0093,credit,,SET-2026-0093,partial_payment
BNK-2026-0094,UTR438411762855,582000.0,2026-01-06,2026-01-06,NEFT NET REFUND ADJ INV-2026-0094,UTR438411762855,SET-2026-0094,credit,,SET-2026-0094,refund
BNK-2026-0095,UTR433670331254,590625.0,2026-04-08,2026-04-08,NEFT NET REFUND ADJ INV-2026-0095,UTR433670331254,SET-2026-0095,credit,,SET-2026-0095,refund
BNK-2026-0096,UTR909309400638,364000.0,2026-04-06,2026-04-06,NEFT NET REFUND ADJ INV-2026-0096,UTR909309400638,SET-2026-0096,credit,,SET-2026-0096,refund
BNK-2026-0097,UTR145424634923,22400.0,2026-01-27,2026-01-27,NEFT NET REFUND ADJ INV-2026-0097,UTR145424634923,SET-2026-0097,credit,,SET-2026-0097,refund
BNK-2026-0098,UTR996079577156,88500.0,2026-02-22,2026-02-22,NEFT NET REFUND ADJ INV-2026-0098,UTR996079577156,SET-2026-0098,credit,,SET-2026-0098,refund
BNK-2026-0099,UTR279777594736,82125.0,2026-03-25,2026-03-25,NEFT NET REFUND ADJ INV-2026-0099,UTR279777594736,SET-2026-0099,credit,,SET-2026-0099,refund
BNK-2026-0100,UTR598373819327,78500.0,2026-04-29,2026-04-29,NEFT CCAvenue INV-2026-0100,UTR598373819327,SET-2026-0100,credit,,SET-2026-0100,duplicate_payment
BNK-2026-0101,UTR443975597605,78500.0,2026-04-29,2026-04-29,NEFT CCAvenue INV-2026-0100 DUP,UTR443975597605,SET-2026-0101,credit,,SET-2026-0101,duplicate_payment
BNK-2026-0102,UTR552955739389,108000.0,2026-01-24,2026-01-24,NEFT CCAvenue INV-2026-0101,UTR552955739389,SET-2026-0102,credit,,SET-2026-0102,duplicate_payment
BNK-2026-0103,UTR306391234982,108000.0,2026-01-24,2026-01-24,NEFT CCAvenue INV-2026-0101 DUP,UTR306391234982,SET-2026-0103,credit,,SET-2026-0103,duplicate_payment
BNK-2026-0104,UTR159098709360,198500.0,2026-04-23,2026-04-23,NEFT Paytm INV-2026-0102,UTR159098709360,SET-2026-0104,credit,,SET-2026-0104,duplicate_payment
BNK-2026-0105,UTR392932052116,198500.0,2026-04-23,2026-04-23,NEFT Paytm INV-2026-0102 DUP,UTR392932052116,SET-2026-0105,credit,,SET-2026-0105,duplicate_payment
BNK-2026-0106,UTR130586292150,78500.0,2026-04-25,2026-04-25,NEFT Paytm INV-2026-0103,UTR130586292150,SET-2026-0106,credit,,SET-2026-0106,duplicate_payment
BNK-2026-0107,UTR795669368396,78500.0,2026-04-25,2026-04-25,NEFT Paytm INV-2026-0103 DUP,UTR795669368396,SET-2026-0107,credit,,SET-2026-0107,duplicate_payment
BNK-2026-0108,UTR705649120112,652500.0,2026-02-12,2026-02-12,NEFT CCAvenue INV-2026-0104,UTR705649120112,SET-2026-0108,credit,,SET-2026-0108,duplicate_payment
BNK-2026-0109,UTR200536554489,652500.0,2026-02-12,2026-02-12,NEFT CCAvenue INV-2026-0104 DUP,UTR200536554489,SET-2026-0109,credit,,SET-2026-0109,duplicate_payment
BNK-2026-0110,UTR420905367754,869500.0,2026-04-08,2026-04-08,NEFT MISMATCH INV-2026-0105,UTR420905367754,SET-2026-0110,credit,,SET-2026-0110,amount_mismatch
BNK-2026-0111,UTR261281455424,118862.5,2026-04-11,2026-04-11,NEFT MISMATCH INV-2026-0106,UTR261281455424,SET-2026-0111,credit,,SET-2026-0111,amount_mismatch
BNK-2026-0112,UTR947295030873,485625.0,2026-03-03,2026-03-03,NEFT MISMATCH INV-2026-0107,UTR947295030873,SET-2026-0112,credit,,SET-2026-0112,amount_mismatch
BNK-2026-0113,UTR895783733945,483312.5,2026-03-30,2026-03-30,NEFT MISMATCH INV-2026-0108,UTR895783733945,SET-2026-0113,credit,,SET-2026-0113,amount_mismatch
BNK-2026-0114,UTR690328426008,160487.5,2026-05-01,2026-05-01,NEFT MISMATCH INV-2026-0109,UTR690328426008,SET-2026-0114,credit,,SET-2026-0114,amount_mismatch
BNK-2026-0115,UTR675953876146,1195600.0,2026-01-31,2026-01-31,NEFT AMBIGUOUS CUST-BBT-019,UTR675953876146,SET-2026-0115,credit,,SET-2026-0115,ambiguous_match
BNK-2026-0116,UTR470505451632,107310.0,2026-02-07,2026-02-07,NEFT AMBIGUOUS CUST-SYW-020,UTR470505451632,SET-2026-0116,credit,,SET-2026-0116,ambiguous_match
BNK-2026-0117,UTR788554816658,24990.0,2026-04-01,2026-04-01,NEFT AMBIGUOUS CUST-ICW-021,UTR788554816658,SET-2026-0117,credit,,SET-2026-0117,ambiguous_match
BNK-2026-0118,UTR353392014891,218050.0,2026-01-12,2026-01-12,NEFT AMBIGUOUS CUST-VGS-022,UTR353392014891,SET-2026-0118,credit,,SET-2026-0118,ambiguous_match
BNK-2026-0119,UTR429398226794,29400.0,2026-01-17,2026-01-17,NEFT AMBIGUOUS CUST-PNP-023,UTR429398226794,SET-2026-0119,credit,,SET-2026-0119,ambiguous_match
BNK-2026-0120,UTR260763575623,18620.0,2026-03-14,2026-03-14,NEFT AMBIGUOUS CUST-AMT-024,UTR260763575623,SET-2026-0120,credit,,SET-2026-0120,ambiguous_match
