settlement_id,payment_id,invoice_reference,customer_id,amount,fee,net_amount,payment_date,settlement_date,payment_gateway,utr_number,remarks,ground_truth_invoice_id,ground_truth_scenario
SET-2026-0061,PAY-2026-0061,INV-2026-0061,CUST-QEL-013,78000.0,1748.76,76251.24,2026-02-09,2026-02-10,Cashfree,UTR188219282055,MDR Fee Cashfree 2% + GST deduction,INV-2026-0061,fee_adjusted
SET-2026-0062,PAY-2026-0062,INV-2026-0062,CUST-PRO-014,44000.0,778.8,43221.2,2026-02-05,2026-02-07,Paytm,UTR462527878842,MDR Fee Paytm 2% + GST deduction,INV-2026-0062,fee_adjusted
SET-2026-0063,PAY-2026-0063,INV-2026-0063,CUST-NXI-015,112500.0,2787.75,109712.25,2026-04-25,2026-04-27,CCAvenue,UTR868567484183,MDR Fee CCAvenue 2% + GST deduction,INV-2026-0063,fee_adjusted
SET-2026-0064,PAY-2026-0064,INV-2026-0064,CUST-AGS-016,95000.0,1681.5,93318.5,2026-03-27,2026-03-28,Paytm,UTR690210202253,MDR Fee Paytm 2% + GST deduction,INV-2026-0064,fee_adjusted
SET-2026-0065,PAY-2026-0065,INV-2026-0065,CUST-SLX-017,116500.0,2062.05,114437.95,2026-04-03,2026-04-05,Paytm,UTR835883073006,MDR Fee Paytm 2% + GST deduction,INV-2026-0065,fee_adjusted
SET-2026-0066,PAY-2026-0066,INV-2026-0066,CUST-HML-018,124500.0,3085.11,121414.89,2026-02-22,2026-02-23,CCAvenue,UTR750232365798,MDR Fee CCAvenue 2% + GST deduction,INV-2026-0066,fee_adjusted
SET-2026-0067,PAY-2026-0067,INV-2026-0067,CUST-BBT-019,39500.0,932.2,38567.8,2026-04-07,2026-04-08,Razorpay,UTR517729190564,MDR Fee Razorpay 2% + GST deduction,INV-2026-0067,fee_adjusted
SET-2026-0068,PAY-2026-0068,INV-2026-0068,CUST-SYW-020,199500.0,3531.15,195968.85,2026-04-09,2026-04-10,Paytm,UTR615747860109,MDR Fee Paytm 2% + GST deduction,INV-2026-0068,fee_adjusted
SET-2026-0069,PAY-2026-0069,INV-2026-0069,CUST-ICW-021,22500.0,531.0,21969.0,2026-01-25,2026-01-26,Razorpay,UTR374661490981,MDR Fee Razorpay 2% + GST deduction,INV-2026-0069,fee_adjusted
SET-2026-0070,PAY-2026-0070,INV-2026-0070,CUST-VGS-022,37000.0,873.2,36126.8,2026-04-24,2026-04-26,Razorpay,UTR612037258811,MDR Fee Razorpay 2% + GST deduction,INV-2026-0070,fee_adjusted
SET-2026-0071,PAY-2026-0071,INV-2026-0071,CUST-PNP-023,160000.0,3304.0,156696.0,2026-01-25,2026-01-26,PayU,UTR443445860556,MDR Fee PayU 2% + GST deduction,INV-2026-0071,fee_adjusted
SET-2026-0072,PAY-2026-0072,INV-2026-0072,CUST-AMT-024,101000.0,2085.65,98914.35,2026-04-25,2026-04-26,PayU,UTR748866464070,MDR Fee PayU 2% + GST deduction,INV-2026-0072,fee_adjusted
SET-2026-0073,PAY-2026-0073,INV-2026-0073,CUST-BCR-001,82000.0,2031.96,79968.04,2026-01-27,2026-01-29,CCAvenue,UTR146311066182,MDR Fee CCAvenue 2% + GST deduction,INV-2026-0073,fee_adjusted
SET-2026-0074,PAY-2026-0074,INV-2026-0074,CUST-NVF-002,134500.0,2380.65,132119.35,2026-03-01,2026-03-03,Paytm,UTR640402796396,MDR Fee Paytm 2% + GST deduction,INV-2026-0074,fee_adjusted
SET-2026-0075,PAY-2026-0075,INV-2026-0075,CUST-AST-003,122500.0,2529.63,119970.37,2026-02-16,2026-02-18,PayU,UTR674382277186,MDR Fee PayU 2% + GST deduction,INV-2026-0075,fee_adjusted
SET-2026-0076,PAY-2026-0076,INV-2026-0076,CUST-URN-004,542500.0,0.0,542500.0,2026-05-04,2026-05-06,Paytm,UTR198503450940,Late remittance received after 19 days,INV-2026-0076,delayed_settlement
SET-2026-0077,PAY-2026-0077,INV-2026-0077,CUST-ORB-005,355000.0,0.0,355000.0,2026-05-07,2026-05-09,CCAvenue,UTR131509583569,Late remittance received after 18 days,INV-2026-0077,delayed_settlement
SET-2026-0078,PAY-2026-0078,INV-2026-0078,CUST-GLS-006,315000.0,0.0,315000.0,2026-04-27,2026-04-29,Cashfree,UTR406404422214,Late remittance received after 20 days,INV-2026-0078,delayed_settlement
SET-2026-0079,PAY-2026-0079,INV-2026-0079,CUST-VTX-007,75500.0,0.0,75500.0,2026-01-26,2026-01-27,PayU,UTR549769295925,Late remittance received after 9 days,INV-2026-0079,delayed_settlement
SET-2026-0080,PAY-2026-0080,INV-2026-0080,CUST-PXW-008,66500.0,0.0,66500.0,2026-05-06,2026-05-07,Paytm,UTR422522208302,Late remittance received after 15 days,INV-2026-0080,delayed_settlement
SET-2026-0081,PAY-2026-0081,INV-2026-0081,CUST-NST-009,67000.0,0.0,67000.0,2026-04-04,2026-04-06,CCAvenue,UTR682197733190,Late remittance received after 13 days,INV-2026-0081,delayed_settlement
SET-2026-0082,PAY-2026-0082,INV-2026-0082,CUST-BPT-010,195500.0,0.0,195500.0,2026-03-24,2026-03-26,Paytm,UTR354482841033,Late remittance received after 12 days,INV-2026-0082,delayed_settlement
SET-2026-0083,PAY-2026-0083,INV-2026-0083,CUST-ZNL-011,85500.0,0.0,85500.0,2026-02-13,2026-02-14,CCAvenue,UTR337045863496,Late remittance received after 20 days,INV-2026-0083,delayed_settlement
SET-2026-0084,PAY-2026-0084,INV-2026-0084,CUST-CPS-012,190000.0,0.0,190000.0,2026-03-16,2026-03-17,PayU,UTR294823500706,Late remittance received after 12 days,INV-2026-0084,delayed_settlement
SET-2026-0085,PAY-2026-0085,INV-2026-0085,CUST-QEL-013,141500.0,0.0,141500.0,2026-02-17,2026-02-19,Razorpay,UTR800622035522,Late remittance received after 8 days,INV-2026-0085,delayed_settlement
SET-2026-0086,PAY-2026-0086,INV-2026-0086,CUST-PRO-014,5600.0,0.0,5600.0,2026-03-17,2026-03-18,Paytm,UTR475553953855,Partial installment 1 (70%) for invoice INV-2026-0086,INV-2026-0086,partial_payment
SET-2026-0087,PAY-2026-0087,INV-2026-0087,CUST-NXI-015,38100.0,0.0,38100.0,2026-01-16,2026-01-17,Paytm,UTR731678373015,Partial installment 1 (30%) for invoice INV-2026-0087,INV-2026-0087,partial_payment
SET-2026-0088,PAY-2026-0088,INV-2026-0088,CUST-AGS-016,30100.0,0.0,30100.0,2026-03-05,2026-03-06,PayU,UTR710394101616,Partial installment 1 (70%) for invoice INV-2026-0088,INV-2026-0088,partial_payment
SET-2026-0089,PAY-2026-0089,INV-2026-0089,CUST-SLX-017,65200.0,0.0,65200.0,2026-04-18,2026-04-19,Paytm,UTR436849259207,Partial installment 1 (40%) for invoice INV-2026-0089,INV-2026-0089,partial_payment
SET-2026-0090,PAY-2026-0090,INV-2026-0090,CUST-HML-018,58200.0,0.0,58200.0,2026-02-22,2026-02-23,PayU,UTR826986119473,Partial installment 1 (30%) for invoice INV-2026-0090,INV-2026-0090,partial_payment
SET-2026-0091,PAY-2026-0091,INV-2026-0091,CUST-BBT-019,43800.0,0.0,43800.0,2026-02-04,2026-02-05,Paytm,UTR857849142762,Partial installment 1 (30%) for invoice INV-2026-0091,INV-2026-0091,partial_payment
SET-2026-0092,PAY-2026-0092,INV-2026-0092,CUST-SYW-020,32000.0,0.0,32000.0,2026-03-24,2026-03-25,Paytm,UTR851924991536,Partial installment 1 (50%) for invoice INV-2026-0092,INV-2026-0092,partial_payment
SET-2026-0093,PAY-2026-0093,INV-2026-0093,CUST-ICW-021,420000.0,0.0,420000.0,2026-02-17,2026-02-18,Razorpay,UTR347152013493,Partial installment 1 (70%) for invoice INV-2026-0093,INV-2026-0093,partial_payment
SET-2026-0094,PAY-2026-0094,INV-2026-0094,CUST-VGS-022,582000.0,0.0,582000.0,2026-01-05,2026-01-06,PayU,UTR438411762855,"Refund adjustment deduction ₹145,500.00 applied",INV-2026-0094,refund
SET-2026-0095,PAY-2026-0095,INV-2026-0095,CUST-PNP-023,590625.0,0.0,590625.0,2026-04-07,2026-04-08,Paytm,UTR433670331254,"Refund adjustment deduction ₹196,875.00 applied",INV-2026-0095,refund
SET-2026-0096,PAY-2026-0096,INV-2026-0096,CUST-AMT-024,364000.0,0.0,364000.0,2026-04-05,2026-04-06,CCAvenue,UTR909309400638,"Refund adjustment deduction ₹156,000.00 applied",INV-2026-0096,refund
SET-2026-0097,PAY-2026-0097,INV-2026-0097,CUST-BCR-001,22400.0,0.0,22400.0,2026-01-26,2026-01-27,Cashfree,UTR145424634923,"Refund adjustment deduction ₹5,600.00 applied",INV-2026-0097,refund
SET-2026-0098,PAY-2026-0098,INV-2026-0098,CUST-NVF-002,88500.0,0.0,88500.0,2026-02-21,2026-02-22,Paytm,UTR996079577156,"Refund adjustment deduction ₹29,500.00 applied",INV-2026-0098,refund
SET-2026-0099,PAY-2026-0099,INV-2026-0099,CUST-AST-003,82125.0,0.0,82125.0,2026-03-24,2026-03-25,Razorpay,UTR279777594736,"Refund adjustment deduction ₹27,375.00 applied",INV-2026-0099,refund
SET-2026-0100,PAY-2026-0100,INV-2026-0100,CUST-URN-004,78500.0,0.0,78500.0,2026-04-28,2026-04-29,CCAvenue,UTR598373819327,Primary settlement credit,INV-2026-0100,duplicate_payment
SET-2026-0101,PAY-2026-0101,INV-2026-0100,CUST-URN-004,78500.0,0.0,78500.0,2026-04-28,2026-04-29,CCAvenue,UTR443975597605,Redundant second payment credit (duplicate),INV-2026-0100,duplicate_payment
SET-2026-0102,PAY-2026-0102,INV-2026-0101,CUST-ORB-005,108000.0,0.0,108000.0,2026-01-23,2026-01-24,CCAvenue,UTR552955739389,Primary settlement credit,INV-2026-0101,duplicate_payment
SET-2026-0103,PAY-2026-0103,INV-2026-0101,CUST-ORB-005,108000.0,0.0,108000.0,2026-01-23,2026-01-24,CCAvenue,UTR306391234982,Redundant second payment credit (duplicate),INV-2026-0101,duplicate_payment
SET-2026-0104,PAY-2026-0104,INV-2026-0102,CUST-GLS-006,198500.0,0.0,198500.0,2026-04-22,2026-04-23,Paytm,UTR159098709360,Primary settlement credit,INV-2026-0102,duplicate_payment
SET-2026-0105,PAY-2026-0105,INV-2026-0102,CUST-GLS-006,198500.0,0.0,198500.0,2026-04-22,2026-04-23,Paytm,UTR392932052116,Redundant second payment credit (duplicate),INV-2026-0102,duplicate_payment
SET-2026-0106,PAY-2026-0106,INV-2026-0103,CUST-VTX-007,78500.0,0.0,78500.0,2026-04-24,2026-04-25,Paytm,UTR130586292150,Primary settlement credit,INV-2026-0103,duplicate_payment
SET-2026-0107,PAY-2026-0107,INV-2026-0103,CUST-VTX-007,78500.0,0.0,78500.0,2026-04-24,2026-04-25,Paytm,UTR795669368396,Redundant second payment credit (duplicate),INV-2026-0103,duplicate_payment
SET-2026-0108,PAY-2026-0108,INV-2026-0104,CUST-PXW-008,652500.0,0.0,652500.0,2026-02-11,2026-02-12,CCAvenue,UTR705649120112,Primary settlement credit,INV-2026-0104,duplicate_payment
SET-2026-0109,PAY-2026-0109,INV-2026-0104,CUST-PXW-008,652500.0,0.0,652500.0,2026-02-11,2026-02-12,CCAvenue,UTR200536554489,Redundant second payment credit (duplicate),INV-2026-0104,duplicate_payment
SET-2026-0110,PAY-2026-0110,INV-2026-0105,CUST-NST-009,869500.0,0.0,869500.0,2026-04-07,2026-04-08,PayU,UTR420905367754,Standard payout - unexplained discrepancy,INV-2026-0105,amount_mismatch
SET-2026-0111,PAY-2026-0111,INV-2026-0106,CUST-BPT-010,118862.5,0.0,118862.5,2026-04-10,2026-04-11,Paytm,UTR261281455424,Standard payout - unexplained discrepancy,INV-2026-0106,amount_mismatch
SET-2026-0112,PAY-2026-0112,INV-2026-0107,CUST-ZNL-011,485625.0,0.0,485625.0,2026-03-02,2026-03-03,Razorpay,UTR947295030873,Standard payout - unexplained discrepancy,INV-2026-0107,amount_mismatch
SET-2026-0113,PAY-2026-0113,INV-2026-0108,CUST-CPS-012,483312.5,0.0,483312.5,2026-03-29,2026-03-30,Razorpay,UTR895783733945,Standard payout - unexplained discrepancy,INV-2026-0108,amount_mismatch
SET-2026-0114,PAY-2026-0114,INV-2026-0109,CUST-QEL-013,160487.5,0.0,160487.5,2026-04-30,2026-05-01,PayU,UTR690328426008,Standard payout - unexplained discrepancy,INV-2026-0109,amount_mismatch
SET-2026-0115,PAY-2026-0115,,CUST-BBT-019,1195600.0,0.0,1195600.0,2026-01-30,2026-01-31,Paytm,UTR675953876146,Remittance without invoice identifier,INV-2026-0115,ambiguous_match
SET-2026-0116,PAY-2026-0116,,CUST-SYW-020,107310.0,0.0,107310.0,2026-02-06,2026-02-07,Paytm,UTR470505451632,Remittance without invoice identifier,INV-2026-0116,ambiguous_match
SET-2026-0117,PAY-2026-0117,,CUST-ICW-021,24990.0,0.0,24990.0,2026-03-31,2026-04-01,CCAvenue,UTR788554816658,Remittance without invoice identifier,INV-2026-0117,ambiguous_match
SET-2026-0118,PAY-2026-0118,,CUST-VGS-022,218050.0,0.0,218050.0,2026-01-11,2026-01-12,Cashfree,UTR353392014891,Remittance without invoice identifier,INV-2026-0118,ambiguous_match
SET-2026-0119,PAY-2026-0119,,CUST-PNP-023,29400.0,0.0,29400.0,2026-01-16,2026-01-17,PayU,UTR429398226794,Remittance without invoice identifier,INV-2026-0119,ambiguous_match
SET-2026-0120,PAY-2026-0120,,CUST-AMT-024,18620.0,0.0,18620.0,2026-03-13,2026-03-14,Cashfree,UTR260763575623,Remittance without invoice identifier,INV-2026-0120,ambiguous_match
